id	state	date
sample7299	IN	2020-03-14
sample7300	IN	2020-03-16
sample7301	IN	2020-03-16
sample7302	IN	2020-03-16
sample7303	IN	2020-03-17
sample7304	IN	2020-03-14
sample7305	IN	2020-03-15
sample7306	IN	2020-04-23
sample7307	KS	2020-03-06
sample7308	KS	2020-03-10
sample7309	KS	2020-03-18
sample7310	KY	2020-03-18
sample7311	KY	2020-03-18
sample7312	KY	2020-03-18
sample7313	KY	2020-04-10
sample7314	KY	2020-04-11
sample8224	LA	2020-06-11
sample8366	LA	2020-04-02
sample7769	LA	2020-06-01
sample7367	LA	2020-05-06
sample8204	LA	2020-08-22
sample8452	LA	2020-06-25
sample7524	LA	2020-08-06
sample7393	LA	2020-04-03
sample8354	LA	2020-03-27
sample7679	LA	2020-04-14
sample7410	LA	2020-04-08
sample8038	LA	2020-08-26
sample7554	LA	2020-07-05
sample8051	LA	2020-06-22
sample8387	LA	2020-05-11
sample7874	LA	2020-03-31
sample8011	LA	2020-05-11
sample7959	LA	2020-06-12
sample7776	LA	2020-06-01
sample8284	LA	2020-06-25
sample7668	LA	2020-04-11
sample8028	LA	2020-08-26
sample8097	LA	2020-04-18
sample7942	LA	2020-04-15
sample7432	LA	2020-04-25
sample8003	LA	2020-05-29
sample8341	LA	2020-04-11
sample7444	LA	2020-04-24
sample7784	LA	2020-06-10
sample7665	LA	2020-04-11
sample7936	LA	2020-04-15
sample8054	LA	2020-06-23
sample8200	LA	2020-08-22
sample7534	LA	2020-08-06
sample8417	LA	2020-05-20
sample7587	LA	2020-04-04
sample7862	LA	2020-03-31
sample8311	LA	2020-08-05
sample8104	LA	2020-04-18
sample8194	LA	2020-08-22
sample7809	LA	2020-06-20
sample7419	LA	2020-04-08
sample8411	LA	2020-08-22
sample7771	LA	2020-06-01
sample7426	LA	2020-04-28
sample8048	LA	2020-07-30
sample7694	LA	2020-04-22
sample7378	LA	2020-05-09
sample7357	LA	2020-05-07
sample8245	LA	2020-05-15
sample8743	MA	2020-03-07
sample8867	MA	2020-06-26
sample8575	MA	2020-03-28
sample8489	MA	2020-03-22
sample8717	MA	2020
sample8877	MA	2020-03-16
sample8642	MA	2020-03-21
sample8859	MA	2020-03-26
sample8511	MA	2020-03-23
sample8614	MA	2020-03-09
sample8894	MA	2020-03-17
sample8547	MA	2020-04-06
sample8612	MA	2020-04-05
sample8845	MA	2020-03-26
sample8590	MA	2020-03-22
sample8608	MA	2020-04-06
sample8901	MA	2020
sample8802	MA	2020-03-28
sample8585	MA	2020-03-26
sample8870	MA	2020-06-24
sample8630	MA	2020-03-27
sample8519	MA	2020-04-06
sample8883	MA	2020-03-17
sample8861	MA	2020-03-27
sample8904	MA	2020
sample8807	MA	2020-04-06
sample8528	MA	2020-04-01
sample8841	MA	2020-03-14
sample8776	MA	2020-04-01
sample8660	MA	2020-03-27
sample8688	MA	2020-03-15
sample8697	MA	2020-03-20
sample8677	MA	2020-03-26
sample8753	MA	2020-03-25
sample8587	MA	2020-04-01
sample8645	MA	2020-03-23
sample8772	MA	2020-04-04
sample8622	MA	2020-03-07
sample8619	MA	2020-03-22
sample8555	MA	2020-03-27
sample8762	MA	2020-03-19
sample8722	MA	2020
sample8510	MA	2020-04-06
sample8843	MA	2020-04-05
sample8799	MA	2020-03-27
sample8521	MA	2020-04-01
sample8610	MA	2020-04-04
sample8830	MA	2020-03-26
sample8767	MA	2020-03-16
sample8506	MA	2020-04-06
sample9216	MD	2020-05-27
sample9028	MD	2020-04-09
sample9178	MD	2020-03-30
sample8987	MD	2020-05-26
sample9247	MD	2020-03-09
sample9055	MD	2020-03-11
sample9111	MD	2020-10-03
sample8913	MD	2020-03-26
sample9211	MD	2020-05-26
sample9152	MD	2020-10-20
sample9192	MD	2020-04-04
sample8924	MD	2020-03-04
sample9044	MD	2020-07-04
sample9196	MD	2020-04-01
sample9039	MD	2020-07-15
sample9171	MD	2020-03-13
sample8930	MD	2020-03-20
sample8968	MD	2020-04-06
sample8950	MD	2020-03-18
sample9163	MD	2020-10-26
sample9280	MD	2020-10-13
sample8912	MD	2020-03-17
sample8910	MD	2020-03-19
sample9006	MD	2020-05-23
sample8985	MD	2020-05-26
sample8954	MD	2020-03-31
sample9250	MD	2020-06-05
sample9136	MD	2020-10-13
sample9159	MD	2020-10-22
sample9268	MD	2020-10-13
sample9288	MD	2020-10-14
sample9235	MD	2020-07-09
sample8976	MD	2020-04-06
sample9122	MD	2020-10-17
sample8991	MD	2020-05-25
sample9222	MD	2020-05-27
sample8996	MD	2020-05-25
sample9078	MD	2020-09-17
sample9128	MD	2020-10-19
sample9148	MD	2020-10-17
sample9229	MD	2020-05-27
sample9184	MD	2020-03-23
sample9285	MD	2020-10-13
sample9014	MD	2020-05-26
sample8938	MD	2020-03-10
sample9156	MD	2020-10-21
sample9167	MD	2020-03-24
sample9158	MD	2020-10-21
sample8961	MD	2020-04-03
sample9226	MD	2020-05-26
sample9355	ME	2020-03-20
sample9334	ME	2020-03-16
sample9319	ME	2020-03-13
sample9350	ME	2020-03-16
sample9321	ME	2020-03-15
sample9351	ME	2020-03-15
sample9358	ME	2020-03-17
sample9343	ME	2020-03-19
sample9322	ME	2020-03-16
sample9380	ME	2020-03-22
sample9360	ME	2020-03-19
sample9363	ME	2020-03-21
sample9374	ME	2020-03-18
sample9340	ME	2020-03-17
sample9359	ME	2020-03-19
sample9333	ME	2020-03-16
sample9392	ME	2020-03-23
sample9309	ME	2020-03-14
sample9327	ME	2020-03-16
sample9375	ME	2020-03-20
sample9381	ME	2020-03-20
sample9386	ME	2020-03-21
sample9314	ME	2020-03-14
sample9387	ME	2020-03-19
sample9306	ME	2020-03-14
sample9396	ME	2020-03-16
sample9395	ME	2020-03-17
sample9344	ME	2020-03-19
sample9310	ME	2020-03-14
sample9379	ME	2020-03-22
sample9369	ME	2020-03-19
sample9316	ME	2020-03-15
sample9388	ME	2020-03-20
sample9394	ME	2020-03-18
sample9377	ME	2020-03-21
sample9345	ME	2020-03-19
sample9336	ME	2020-03-16
sample9393	ME	2020-03-17
sample9376	ME	2020-03-20
sample9313	ME	2020-03-15
sample9331	ME	2020-03-16
sample9326	ME	2020-03-15
sample9362	ME	2020-03-21
sample9349	ME	2020-03-16
sample9320	ME	2020-03-13
sample9301	ME	2020-03-12
sample9366	ME	2020-03-20
sample9338	ME	2020-03-16
sample9383	ME	2020-03-21
sample9305	ME	2020-03-13
sample10037	MI	2020-04-17
sample11349	MI	2020-03-16
sample9715	MI	2020-03-29
sample9640	MI	2020-10-09
sample9945	MI	2020-04-06
sample11032	MI	2020-03-23
sample11174	MI	2020-10-16
sample9709	MI	2020-03-30
sample9534	MI	2020-08-08
sample9751	MI	2020-04-14
sample10390	MI	2020-10-05
sample11030	MI	2020-03-23
sample10056	MI	2020-03-30
sample11095	MI	2020-09-13
sample10723	MI	2020-04-24
sample9767	MI	2020-03-19
sample10748	MI	2020-05-26
sample11253	MI	2020-03-22
sample10881	MI	2020-10-18
sample9697	MI	2020-04-29
sample10323	MI	2020-04-20
sample11180	MI	2020-10-15
sample9457	MI	2020-03-17
sample10643	MI	2020-10-20
sample9953	MI	2020-03-20
sample9477	MI	2020-05-15
sample9893	MI	2020-10-15
sample10152	MI	2020-10-12
sample10320	MI	2020-04-13
sample9450	MI	2020-03-30
sample10762	MI	2020-07-01
sample11133	MI	2020-03-17
sample9894	MI	2020-10-14
sample10365	MI	2020-09-21
sample9470	MI	2020-03-14
sample10974	MI	2020-03-20
sample9803	MI	2020-03-19
sample11023	MI	2020-03-23
sample10853	MI	2020-03-20
sample11185	MI	2020-10-16
sample10191	MI	2020-04-03
sample10287	MI	2020-03-30
sample10715	MI	2020-05-06
sample9636	MI	2020-10-07
sample10880	MI	2020-10-20
sample10087	MI	2020-03-19
sample9438	MI	2020-03-14
sample10844	MI	2020-03-24
sample11034	MI	2020-03-17
sample9823	MI	2020-09-04
sample12333	MN	2020-04-10
sample12250	MN	2020-04-20
sample11514	MN	2020-08-17
sample11678	MN	2020-04-28
sample11891	MN	2020-03-13
sample11699	MN	2020-05-04
sample12595	MN	2020-03-16
sample11720	MN	2020-03-24
sample12865	MN	2020-10-18
sample12187	MN	2020-04-07
sample12680	MN	2020-05-07
sample12627	MN	2020-04-15
sample11600	MN	2020-08-21
sample12441	MN	2020-03-15
sample11944	MN	2020-06-03
sample12134	MN	2020-03-16
sample11753	MN	2020-04-30
sample11547	MN	2020-03-15
sample11555	MN	2020-03-16
sample12139	MN	2020-03-16
sample12513	MN	2020-03-23
sample12038	MN	2020-03-25
sample11525	MN	2020-03-18
