id	state	date
sample25090	WA	2020-06-18
sample28023	WA	2020-03-28
sample28580	WA	2020-05-11
sample28339	WA	2020-06-01
sample24921	WA	2020-03-13
sample26198	WA	2020-03-25
sample27678	WA	2020-06-29
sample30449	WI	2020-05-19
sample31221	WI	2020-06-25
sample31868	WI	2020-04-06
sample30466	WI	2020-04-24
sample30166	WI	2020-04-09
sample31967	WI	2020-07-21
sample31061	WI	2020-09-14
sample31760	WI	2020-08-17
sample29849	WI	2020-07-05
sample29715	WI	2020-08-11
sample30754	WI	2020-08-04
sample29952	WI	2020-07-22
sample29701	WI	2020-07-01
sample31309	WI	2020-05-19
sample29866	WI	2020-07-04
sample32081	WV	2020-04-17
sample32082	WV	2020-03-17
sample32143	WY	2020-06-05
sample32151	WY	2020-07-01
sample32092	WY	2020-03-19
sample32133	WY	2020-04-24
sample32108	WY	2020-03-27
sample32093	WY	2020-03-20
sample32154	WY	2020-07-06
sample32104	WY	2020-03-25
sample32112	WY	2020-03-30
sample32109	WY	2020-03-28
sample32091	WY	2020-03-18
sample32099	WY	2020-03-25
sample32150	WY	2020-06-22
sample32115	WY	2020-03-30
sample32137	WY	2020-05-02
